symptom,keyword,medicine
Mild body aches today, pain,Naproxen 250mg; rest in a quiet room and sip warm fluids
Sharp pain in my lower back, pain,Diclofenac gel; avoid heavy lifting and stay calm
Persistent muscle soreness, pain,Naproxen 250mg; take short breaks and hydrate
Pain in my arms after work, pain,Diclofenac gel; apply gently and rest
Throbbing sensation in my knees, pain,Naproxen 250mg; elevate legs and relax
Pain in my wrists and hands, pain,Diclofenac gel; gentle massage and stay calm
Muscle stiffness and pain, pain,Naproxen 250mg; sip warm water and rest quietly
Aching all over my body, pain,Diclofenac gel; apply on affected areas and relax
Painful sensations in my joints, pain,Naproxen 250mg; keep area elevated and calm
My eyes are itchy and red, eyes,Olopatadine eye drops; avoid rubbing and stay in a clean environment
I feel irritation in my eyes, eyes,Artificial tears; rest eyes and blink frequently
Burning sensation in my eyes, eyes,Olopatadine eye drops; stay away from dust and allergens
Eyes watering constantly, eyes,Artificial tears; avoid screen glare and relax
My eyes feel dry and uncomfortable, eyes,Olopatadine eye drops; keep eyes closed periodically
I have redness in both eyes, eyes,Artificial tears; rest in a dimly lit room
Itchy eyes making me rub them, eyes,Olopatadine eye drops; avoid touching eyes and blink slowly
Burning and stinging in eyes, eyes,Artificial tears; stay hydrated and close eyes occasionally
Eyes feel tired and irritated, eyes,Olopatadine eye drops; take breaks from screens
Watery eyes after exposure to dust, eyes,Artificial tears; rinse with clean water and relax
Redness and mild swelling in eyes, eyes,Olopatadine eye drops; avoid allergens and rest quietly
Eyes feel scratchy and dry, eyes,Artificial tears; gently massage around eyes and blink frequently
I have irritation in one eye, eyes,Olopatadine eye drops; stay in a clean environment and relax
My eyes are sensitive to light, eyes,Artificial tears; wear sunglasses indoors and rest
Itchy sensation in both eyes, eyes,Olopatadine eye drops; avoid rubbing and sip water
I have a runny nose and sneezing, cold,Paracetamol 500mg; rest and drink warm fluids
My nose is congested and I feel weak, cold,Cough syrup as directed; stay hydrated and avoid cold drinks
Sneezing frequently with slight fever, cold,Paracetamol 500mg; sip warm tea and rest quietly
I feel chills and mild fever, cold,Cough syrup; keep warm and breathe slowly
Nose is blocked and throat is sore, cold,Paracetamol 500mg; stay relaxed and avoid cold exposure
Mild headache and sneezing, cold,Cough syrup; rest in a quiet room and sip fluids
I am feeling fatigued with cold symptoms, cold,Paracetamol 500mg; keep body warm and hydrated
Runny nose with mild cough, cold,Cough syrup; relax and avoid strenuous activity
Sneezing and watery eyes, cold,Paracetamol 500mg; stay calm and rest
Throat irritation from a cold, cold,Cough syrup; sip warm water and avoid talking loudly
Nasal congestion causing discomfort, cold,Paracetamol 500mg; inhale steam and rest
I have chills and mild body ache, cold,Cough syrup; keep warm and drink warm fluids
Persistent sneezing and runny nose, cold,Paracetamol 500mg; rest and stay hydrated
Feeling weak and congested, cold,Cough syrup; avoid cold drinks and relax
Cold with mild fever and headache, cold,Paracetamol 500mg; sip warm tea and rest quietly
My nose is constantly dripping, nose,Saline nasal drops; gently clear nostrils and stay hydrated
Sneezing and runny nose all day, nose,Cetirizine tablet; avoid dusty areas and rest quietly
Nasal congestion with watery discharge, nose,Saline nasal drops; breathe slowly and relax
Runny nose causing discomfort, nose,Cetirizine tablet; sip warm fluids and rest
Persistent sneezing and nose dripping, nose,Saline nasal drops; avoid cold exposure and keep nostrils clean
My nose feels blocked and watery, nose,Cetirizine tablet; stay calm and hydrated
Watery nose after stepping outside, nose,Saline nasal drops; gently clear nostrils and rest
Sneezing fits and runny nose, nose,Cetirizine tablet; stay away from allergens and relax
Nose running with slight irritation, nose,Saline nasal drops; keep nostrils clean and breathe deeply
I have nasal drip and discomfort, nose,Cetirizine tablet; sip warm water and stay relaxed
Runny nose after cold exposure, nose,Saline nasal drops; gently clean and rest
My nose keeps dripping at night, nose,Cetirizine tablet; rest in a comfortable position
Persistent watery nose and sneezing, nose,Saline nasal drops; keep warm and hydrated
Nasal irritation with runny nose, nose,Cetirizine tablet; avoid allergens and relax
Runny nose making me uncomfortable, nose,Saline nasal drops; gently clear nostrils and rest quietly
My nasal passages feel blocked, nasal,Saline nasal drops; gently clear nostrils and breathe slowly
I have nasal congestion, nasal,Cetirizine tablet; avoid dust and allergens and stay relaxed
Nose feels stuffed and irritated, nasal,Saline nasal drops; sip warm fluids and rest quietly
Persistent nasal blockage, nasal,Cetirizine tablet; keep nostrils clean and stay calm
Swelling inside my nasal passages, nasal,Saline nasal drops; gently rinse and breathe deeply
My nasal cavity is uncomfortable, nasal,Cetirizine tablet; avoid cold exposure and relax
Nasal congestion after cold exposure, nasal,Saline nasal drops; clear nostrils gently and rest
I feel irritation inside my nose, nasal,Cetirizine tablet; stay hydrated and calm
Stuffed nasal passages making it hard to breathe, nasal,Saline nasal drops; breathe slowly and relax
Nasal discomfort with slight itchiness, nasal,Cetirizine tablet; avoid allergens and rest
Blocked nose causing difficulty in breathing, nasal,Saline nasal drops; keep nostrils clean and breathe deeply
I have irritation and swelling in nasal cavity, nasal,Cetirizine tablet; sip warm water and rest quietly
Nasal passages feel dry and uncomfortable, nasal,Saline nasal drops; stay hydrated and relax
Sneezing with nasal blockage, nasal,Cetirizine tablet; avoid dust and allergens and breathe slowly
My nasal passages are irritated and swollen, nasal,Saline nasal drops; gently rinse and rest calmly
Red rashes appearing on my skin, skin,Hydrocortisone cream applied gently; avoid scratching and keep area clean
Itchy skin rash spreading slowly, skin,Calamine lotion; apply lightly and avoid irritants
My skin feels irritated and red, skin,Hydrocortisone cream; rest and avoid hot water on affected area
Rashes causing discomfort on my arms, skin,Calamine lotion; keep skin dry and cool
Itchy red bumps on skin, skin,Hydrocortisone cream; avoid scratching and stay calm
Skin rash with slight swelling, skin,Calamine lotion; apply gently and keep area clean
I have patches of redness on my skin, skin,Hydrocortisone cream; avoid tight clothing and relax
Skin irritation causing itchiness, skin,Calamine lotion; stay hydrated and avoid irritants
Red inflamed rash on my legs, skin,Hydrocortisone cream; apply gently and rest
Itchy spots on skin making me uncomfortable, skin,Calamine lotion; keep area clean and avoid scratching
Rashes appearing suddenly on my torso, skin,Hydrocortisone cream; avoid harsh soaps and relax
I have itchy patches on my skin, skin,Calamine lotion; gently apply and keep skin cool
Skin redness after exposure to allergen, skin,Hydrocortisone cream; avoid allergen and rest quietly
I feel irritation and bumps on skin, skin,Calamine lotion; apply lightly and stay calm
Itchy red rash on my back, skin,Hydrocortisone cream; keep area clean and avoid scratching
I am having trouble falling asleep, sleep,Melatonin 3mg before bedtime; maintain a dark and quiet room
Difficulty sleeping at night, sleep,Improve sleep hygiene; avoid screens and caffeine in the evening
Can't seem to sleep, sleep,Melatonin 3mg; practice deep breathing and relax
Restless nights and tossing in bed, sleep,Improve sleep hygiene; maintain consistent sleep schedule and calm environment
Sleep eludes me despite being tired, sleep,Melatonin 3mg; keep room dark and avoid noise
Unable to sleep properly, sleep,Improve sleep hygiene; avoid heavy meals before bed and relax
I wake up multiple times at night, sleep,Melatonin 3mg; dim lights and practice calm breathing
Restless sleep and frequent waking, sleep,Improve sleep hygiene; maintain quiet and comfortable environment
Difficulty staying asleep, sleep,Melatonin 3mg; keep a regular bedtime routine and relax
I feel tired but can't sleep, sleep,Improve sleep hygiene; limit screen time and create a peaceful room
Trouble sleeping due to racing thoughts, sleep,Melatonin 3mg; practice meditation and deep breathing
Can't get a full night's rest, sleep,Improve sleep hygiene; avoid caffeine late and keep room dark
I lie awake at night, sleep,Melatonin 3mg; relax with calm music and dim lighting
Sleepiness during day but awake at night, sleep,Improve sleep hygiene; maintain consistent sleep-wake cycle
Difficulty initiating and maintaining sleep, sleep,Melatonin 3mg; reduce noise and maintain dark environment
I feel sleepy all day, excessive_sleep,Improve sleep hygiene; maintain regular sleep schedule and avoid long naps
Always drowsy despite sleeping enough, excessive_sleep,Lifestyle adjustments; take short walks and get morning sunlight
Feeling tired and wanting to sleep constantly, excessive_sleep,Improve sleep hygiene; avoid late-night screen exposure
Can't stay awake during day, excessive_sleep,Lifestyle adjustments; sip water, stretch, and stay active
Excessive sleepiness interfering with work, excessive_sleep,Improve sleep hygiene; keep room bright in the morning
Sleepy even after full night’s rest, excessive_sleep,Lifestyle adjustments; take brief outdoor walks and avoid heavy meals
Always feeling drowsy, excessive_sleep,Improve sleep hygiene; maintain consistent sleep-wake cycle
Falling asleep unexpectedly, excessive_sleep,Lifestyle adjustments; expose to natural light and stay active
I feel lethargic and sleepy, excessive_sleep,Improve sleep hygiene; avoid late caffeine and take brief breaks
Constant desire to nap, excessive_sleep,Lifestyle adjustments; short walks and fresh air exposure
Difficulty staying alert during the day, excessive_sleep,Improve sleep hygiene; sleep and wake at fixed times
Always tired and drowsy, excessive_sleep,Lifestyle adjustments; stretch and moderate caffeine intake
Feeling sleepy at work or school, excessive_sleep,Improve sleep hygiene; limit screen time before bed
Oversleeping and still tired, excessive_sleep,Lifestyle adjustments; get sunlight and stay physically active
I keep feeling the need to sleep, excessive_sleep,Improve sleep hygiene; maintain quiet and dark sleep environment
I have no desire to eat, food,Small frequent meals; sip water and eat light nutritious food
Losing my appetite completely, food,Ginger tea before meals; try light snacks and stay hydrated
I feel full quickly and can't eat, food,Small frequent meals; eat soft foods and relax
No interest in food, food,Ginger tea; consume light nutritious meals slowly
Can't eat much these days, food,Small frequent meals; avoid heavy meals and sip fluids
Loss of appetite and feeling weak, food,Ginger tea; eat small snacks and stay calm
I feel nauseous and don't want food, food,Small frequent meals; choose easily digestible foods
Lack of appetite for regular meals, food,Ginger tea; eat soft fruits and light meals
I feel uninterested in eating, food,Small frequent meals; stay hydrated and eat nutritious snacks
No hunger at all, food,Ginger tea; sip warm fluids and eat small portions
My appetite has decreased, food,Small frequent meals; eat slowly and relax
I am avoiding food due to discomfort, food,Ginger tea; try light meals and stay calm
Feeling weak because of no appetite, food,Small frequent meals; eat soft foods and sip water
Can't bring myself to eat, food,Ginger tea; take small snacks and stay hydrated
I feel empty stomach but no hunger, food,Small frequent meals; eat easily digestible foods and relax
I am feeling nauseous and vomiting, vomiting,Ondansetron 4mg as directed; sip water slowly and rest
Frequent vomiting after eating, vomiting,Sip water or ORS; avoid solid food and stay calm
I can't keep food down, vomiting,Ondansetron 4mg; rest in a quiet room and take small sips of water
Vomiting with nausea, vomiting,Sip water or ORS; stay hydrated and relax
Throwing up repeatedly, vomiting,Ondansetron 4mg; sip fluids slowly and avoid strenuous activity
I feel like vomiting constantly, vomiting,Sip water or ORS; rest and take deep breaths
Nausea followed by vomiting, vomiting,Ondansetron 4mg; avoid strong smells and sip water gradually
Cannot stop vomiting, vomiting,Sip water or ORS; stay calm and rest quietly
Feeling weak due to vomiting, vomiting,Ondansetron 4mg; drink fluids slowly and stay comfortable
Vomiting after meals, vomiting,Sip water or ORS; avoid solid foods and relax
I am vomiting and feel dizzy, vomiting,Ondansetron 4mg; sip fluids carefully and rest
Persistent vomiting all day, vomiting,Sip water or ORS; stay hydrated and avoid exertion
Sudden urge to vomit, vomiting,Ondansetron 4mg; sit quietly and sip water
Vomiting with stomach discomfort, vomiting,Sip water or ORS; rest in a calm environment
I have loose stools frequently, diarrhea,ORS; sip water regularly and rest
Diarrhea with stomach cramps, diarrhea,Loperamide 2mg as directed; avoid oily foods and stay hydrated
Frequent watery stools, diarrhea,ORS; take small sips and avoid cold drinks
I am having diarrhea since morning, diarrhea,Loperamide 2mg; rest in a calm environment and stay hydrated
Stomach upset with diarrhea, diarrhea,ORS; drink fluids slowly and eat light foods
Diarrhea making me weak, diarrhea,Loperamide 2mg; sip water and avoid heavy meals
Loose stools after meals, diarrhea,ORS; keep hydrated and rest quietly
I can't control frequent diarrhea, diarrhea,Loperamide 2mg; sit comfortably and sip fluids
Diarrhea with nausea, diarrhea,ORS; drink small amounts frequently and relax
Persistent diarrhea all day, diarrhea,Loperamide 2mg; stay calm and avoid solid foods temporarily
Watery stools causing discomfort, diarrhea,ORS; sip ORS slowly and rest
Diarrhea with abdominal pain, diarrhea,Loperamide 2mg; keep hydrated and avoid exertion
Frequent bowel movements and weakness, diarrhea,ORS; drink fluids and stay relaxed
Diarrhea after eating, diarrhea,Loperamide 2mg; avoid spicy foods and rest quietly
Loose and watery stools, diarrhea,ORS; sip water and maintain calm
I have pimples on my face, pimples,Benzoyl Peroxide cream; apply gently and avoid touching
Small pimples appearing on cheeks, pimples,Salicylic acid face wash; wash face twice daily and stay hydrated
Red pimples on forehead, pimples,Benzoyl Peroxide cream; keep area clean and avoid makeup
Pimples causing irritation, pimples,Salicylic acid face wash; gently cleanse and avoid scratching
Whiteheads and pimples on chin, pimples,Benzoyl Peroxide cream; apply at night and avoid touching
Pimples with mild redness, pimples,Salicylic acid face wash; wash face and stay calm
Acne breakouts on nose, pimples,Benzoyl Peroxide cream; apply lightly and avoid picking
Tiny pimples on jawline, pimples,Salicylic acid face wash; rinse face gently and keep skin moisturized
Pimples forming on forehead and cheeks, pimples,Benzoyl Peroxide cream; apply carefully and avoid irritants
Red and inflamed pimples, pimples,Salicylic acid face wash; gently cleanse and rest
Pimples after stress, pimples,Benzoyl Peroxide cream; apply at night and avoid heavy creams
Breakout of small pimples, pimples,Salicylic acid face wash; rinse and keep skin calm
Pimples with slight swelling, pimples,Benzoyl Peroxide cream; avoid touching and stay hydrated
Clogged pores causing pimples, pimples,Salicylic acid face wash; wash gently and relax
Pimples appearing suddenly, pimples,Benzoyl Peroxide cream; apply lightly and maintain clean skin
My hair is falling out a lot, hair,Minoxidil 5% solution; apply gently and massage scalp
Excessive hair shedding, hair,Biotin supplements; take daily with meals and stay hydrated
Hair falling after shampoo, hair,Minoxidil 5% solution; apply carefully and avoid scratching
Thinning hair on scalp, hair,Biotin supplements; maintain healthy diet and relax
Hair strands falling while brushing, hair,Minoxidil 5% solution; massage scalp and avoid harsh products
Noticeable hair fall recently, hair,Biotin supplements; stay hydrated and avoid stress
Hair loss at the temples, hair,Minoxidil 5% solution; apply lightly and keep scalp clean
Falling hair after styling, hair,Biotin supplements; take daily and eat protein-rich foods
Scalp hair thinning rapidly, hair,Minoxidil 5% solution; massage scalp gently and stay calm
Hair falling in clumps, hair,Biotin supplements; maintain regular intake and rest
Hair loss after illness, hair,Minoxidil 5% solution; apply at night and avoid harsh chemicals
Thinning strands all over scalp, hair,Biotin supplements; stay healthy and hydrated
Hair falling excessively in morning, hair,Minoxidil 5% solution; massage scalp and avoid heat styling
Weak hair roots causing fall, hair,Biotin supplements; take daily and reduce stress
Sudden hair loss, hair,Minoxidil 5% solution; apply gently and keep scalp clean
I have dandruff on my scalp, dandruff,Ketoconazole shampoo; apply gently and rinse thoroughly
Flakes falling from my hair, dandruff,Zinc Pyrithione shampoo; use twice a week and massage scalp
Scalp itching with dandruff, dandruff,Ketoconazole shampoo; leave on for 5 minutes and rinse
White flakes visible on hair, dandruff,Zinc Pyrithione shampoo; massage scalp gently and rinse
Persistent dandruff for weeks, dandruff,Ketoconazole shampoo; apply at night and avoid styling products
Scalp peeling and itchy, dandruff,Zinc Pyrithione shampoo; wash hair twice weekly and stay hydrated
Dry scalp with flakes, dandruff,Ketoconazole shampoo; massage and rinse well
Hair and scalp have visible dandruff, dandruff,Zinc Pyrithione shampoo; gently apply and rinse thoroughly
Itchy scalp causing flakes, dandruff,Ketoconazole shampoo; leave on scalp for few minutes and rinse
White powdery flakes on shoulders, dandruff,Zinc Pyrithione shampoo; use regularly and avoid harsh shampoos
Scalp feels dry and flaky, dandruff,Ketoconazole shampoo; massage gently and rinse
Hair shedding with dandruff, dandruff,Zinc Pyrithione shampoo; apply carefully and rinse
Flakes appearing suddenly, dandruff,Ketoconazole shampoo; use twice a week and stay calm
Scalp irritation and dandruff, dandruff,Zinc Pyrithione shampoo; massage and rinse thoroughly
Persistent itchy scalp, dandruff,Ketoconazole shampoo; apply gently and keep scalp clean
I have a high temperature, fever,Paracetamol 500mg; rest in a quiet room and drink warm fluids
Feeling feverish and weak, fever,Ibuprofen 400mg after meals; keep hydrated and avoid cold drinks
Mild fever since morning, fever,Paracetamol 500mg; sip warm water and rest
Shivering with a slight fever, fever,Ibuprofen 400mg; stay in a warm room and relax
Body feels hot and tired, fever,Paracetamol 500mg; rest and avoid strenuous activity
Fever causing headaches, fever,Ibuprofen 400mg; sip warm fluids and stay calm
Temperature rising suddenly, fever,Paracetamol 500mg; stay hydrated and rest quietly
Feeling feverish and sweaty, fever,Ibuprofen 400mg; keep room ventilated and relax
Mild fever with body ache, fever,Paracetamol 500mg; drink warm fluids and rest
Hot and uncomfortable feeling, fever,Ibuprofen 400mg; stay calm and hydrated
Fever with chills and weakness, fever,Paracetamol 500mg; keep warm and sip water slowly
Slight temperature with fatigue, fever,Ibuprofen 400mg; rest and avoid heavy activity
Feeling very warm and tired, fever,Paracetamol 500mg; stay in a quiet room and hydrate
High fever with headache, fever,Ibuprofen 400mg; sip fluids and rest comfortably
Fever causing body discomfort, fever,Paracetamol 500mg; keep warm and avoid strenuous activity
I have a stomach ache, stomach,Antacids as directed; sip warm water and rest
Pain in my lower abdomen, stomach,Peppermint oil; apply gently and relax
Stomach cramping since morning, stomach,Antacids; take after meals and stay hydrated
Feeling bloated with stomach discomfort, stomach,Peppermint oil; use warm compress and relax
Sharp pain in my stomach, stomach,Antacids; sip warm fluids and rest quietly
Mild abdominal pain, stomach,Peppermint oil; gently massage and stay calm
Stomach upset causing discomfort, stomach,Antacids; avoid heavy meals and rest
Bloating and mild cramps, stomach,Peppermint oil; apply warm compress and breathe slowly
Ache in lower abdomen, stomach,Antacids; sip water and relax
Painful stomach after eating, stomach,Peppermint oil; rest and avoid solid food temporarily
Stomach feels heavy and uncomfortable, stomach,Antacids; stay hydrated and calm
Cramping in stomach after meals, stomach,Peppermint oil; apply gently and relax
Persistent mild stomach ache, stomach,Antacids; sip warm fluids and stay comfortable
Stomach pain with nausea, stomach,Peppermint oil; rest in a quiet room and relax
Discomfort in my stomach, stomach,Antacids; avoid spicy food and stay calm
I feel nauseous, nausea,Ondansetron 4mg as directed; sip water slowly and rest
Stomach feels upset with nausea, nausea,Ginger tea; sip warm ginger tea slowly and relax
Feeling like vomiting, nausea,Ondansetron 4mg; stay calm and rest in a quiet room
Nausea after meals, nausea,Ginger tea; sip warm fluids and avoid heavy foods
Sudden waves of nausea, nausea,Ondansetron 4mg; sit quietly and sip water
Mild nausea throughout the day, nausea,Ginger tea; take small sips and stay calm
Feeling queasy, nausea,Ondansetron 4mg; rest and avoid strong odors
Persistent nausea since morning, nausea,Ginger tea; sip ginger tea and relax
Nausea causing discomfort, nausea,Ondansetron 4mg; stay hydrated and rest quietly
Stomach upset with queasy feeling, nausea,Ginger tea; sip fluids slowly and remain calm
Feeling unwell and nauseous, nausea,Ondansetron 4mg; avoid heavy food and rest
Nausea after drinking water, nausea,Ginger tea; sip slowly and relax
I feel dizzy and nauseous, nausea,Ondansetron 4mg; rest in a quiet room and sip water
Mild queasiness in stomach, nausea,Ginger tea; drink warm fluids and stay calm
Feeling sick to stomach, nausea,Ondansetron 4mg; sit quietly and sip water slowly
I feel mild pain in my chest, chest,Aspirin 75mg; take after meals and rest calmly. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
Chest discomfort when bending, chest,Rest and deep breathing; sit quietly and breathe slowly. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
Sharp sensation in chest occasionally, chest,Aspirin 75mg; sip warm fluids and stay calm. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
Pressure feeling in chest, chest,Rest and deep breathing; avoid strenuous activity and relax. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
Mild ache in chest area, chest,Aspirin 75mg; keep comfortable and rest. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
Chest pain after physical exertion, chest,Rest and deep breathing; sit quietly and relax. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
Slight burning sensation in chest, chest,Aspirin 75mg; take after meals and stay calm. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
Feeling tightness in chest, chest,Rest and deep breathing; breathe slowly and maintain calm. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
Mild chest discomfort at night, chest,Aspirin 75mg; rest in a comfortable position. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
Chest ache when stressed, chest,Rest and deep breathing; relax and take slow breaths. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
Occasional pain in chest area, chest,Aspirin 75mg; sip water and stay calm. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
Chest feels heavy sometimes, chest,Rest and deep breathing; maintain calm and sit quietly. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
Ache in chest after meals, chest,Aspirin 75mg; keep comfortable and rest. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
